parent,child,ownership,owner_type,color
Blackrock Inc,Merrill Lynch Co Inc,0.4401,Insider,#ff2f00
Blackrock Inc,Vanguard Group Inc,0.0792,Institution,#651c9c
Blackrock Inc,Blackrock Inc,0.0646,Institution,#0b0bff
Blackrock Inc,Capital World Investors,0.0493,Institution,#8502ff
Blackrock Inc,State Street Corp,0.0416,Institution,#05e2ff
Blackrock Inc,Temasek Holdings Private Ltd,0.039,Institution,#02ff8d
Blackrock Inc,Bank Of America Corp,0.0389,Institution,#ff2f00
Blackrock Inc,Wellington Management Group Llp,0.0311,Institution,#5eff01
Blackrock Inc,Fmr LLC,0.023,Institution,#c8ff00
Blackrock Inc,Capital International Investors,0.018,Institution,#8502ff
Blackrock Inc,Column Capital Advisors LLC,0.0177,Institution,#c30fff
Blackrock Inc,Wells Fargo Company,0.016,Institution,#fff700
Blackrock Inc,Jpmorgan Chase Co,0.0159,Institution,#42649e
Blackrock Inc,Morgan Stanley,0.0151,Institution,#ff1097
Blackrock Inc,Ameriprise Financial Inc,0.014,Institution,#ffcc00
Blackrock Inc,Geode Capital Management LLC,0.0137,Institution,#76bf3d
Blackrock Inc,Northern Trust Corp,0.0133,Institution,#ffb300
Blackrock Inc,Massachusetts Financial Services Co,0.0119,Institution,#c271b4
Blackrock Inc,Charles Schwab Investment Management,0.0112,Institution,#233c8c
Blackrock Inc,Bank Of New York Mellon,0.0075,Institution,#fb02ff
Blackrock Inc,Ubs Group Ag,0.0067,Institution,#ccb762
Blackrock Inc,Legal General Group PLC,0.0065,Institution,#ff6200
Blackrock Inc,Flossbach Von Storch Ag,0.006,Institution,#ac88cf
Blackrock Inc,Retail,0.0079,Retail,#ffffff
Blackrock Inc,Insider,0.0118,Insider,#797979
Blackrock Inc,Self,1E-09,Self,#0b0bff
Merrill Lynch Co Inc,Berkshire Hathaway Inc,0.2395,Insider,#c7996f
Merrill Lynch Co Inc,Berkshire Hathaway Inc,0.1179,Institution,#c7996f
Merrill Lynch Co Inc,Vanguard Group Inc,0.0725,Institution,#651c9c
Merrill Lynch Co Inc,Blackrock Inc,0.0598,Institution,#0b0bff
Merrill Lynch Co Inc,State Street Corp,0.0391,Institution,#05e2ff
Merrill Lynch Co Inc,Fmr LLC,0.0268,Institution,#c8ff00
Merrill Lynch Co Inc,Wellington Management Group Llp,0.0201,Institution,#5eff01
Merrill Lynch Co Inc,Price T Rowe Associates Inc,0.0146,Institution,#af03ff
Merrill Lynch Co Inc,Capital World Investors,0.0138,Institution,#8502ff
Merrill Lynch Co Inc,Geode Capital Management LLC,0.0135,Institution,#76bf3d
Merrill Lynch Co Inc,Jpmorgan Chase Co,0.0123,Institution,#42649e
Merrill Lynch Co Inc,Northern Trust Corp,0.0095,Institution,#ffb300
Merrill Lynch Co Inc,Dodge Cox,0.0092,Institution,#ebb3ff
